title,view,like,unlike,comment,date
단돈 1000원!!! 다이소 속눈썹 전체 리뷰 1편 $1 Korean Daiso eyelashes review 1 | SSIN,"조회수 765,694회",1.3만,273,댓글 829개,2018. 7. 14.
백스테이지 모델 메이크업 Backstage runway look tutorial | SSIN,"조회수 282,208회",7.7천,136,댓글 603개,2018. 7. 6.
로드샵 원브랜드 메이크업 : 에스쁘아 Espoir Korean one brand makeup | SSIN,"조회수 752,063회",1만,262,댓글 971개,2018. 7. 6.
핑크극복프로젝트2.라벤더핑크 Overcoming the fear of PINK : Lavender Pink | SSIN,"조회수 847,900회",1.7만,496,"댓글 2,871개",2018. 6. 29.
이온워터걸 같은 산뜻한 데일리 메이크업 | SSIN,"조회수 591,692회",1.6만,308,"댓글 1,908개",2018. 6. 22.
 제주도 풀빌라 힐링 겟레디윗미 (존좋템으로 화장하기) | SSIN,"조회수 606,890회",7.7천,233,댓글 741개,2018. 6. 17.
로드샵 원브랜드 메이크업 : 쓰리컨셉아이즈 3CE Korean one brand makeup | SSIN,"조회수 938,600회",1.4만,346,"댓글 1,454개",2018. 6. 8.
"곧 만나요!  ""커밋뷰티 페스티벌"" VIP 에코백 소개 / 제품 하울 | SSIN","조회수 188,647회",2.9천,87,댓글 388개,2018. 6. 2.
클래식한 증명사진 메이크업 Feat. 시현하다｜SSIN,"조회수 749,002회",1.3만,257,댓글 759개,2018. 5. 24.
레트로 썸머 메이크업 | SSIN,"조회수 398,492회",7.8천,179,"댓글 1,137개",2018. 5. 21.
핑크살몬 혜성 메이크업 [커밋뷰티 페스티벌 안내] | SSIN,"조회수 239,273회",4.9천,78,댓글 483개,2018. 5. 19.
럭셔리 원브랜드 메이크업 : 조르지오 아르마니 Giorgio Armani one brand makeup | SSIN,"조회수 718,865회",1.2만,262,"댓글 1,045개",2018. 5. 16.
핑크극복프로젝트1.핫핑크 Overcoming the fear of PINK : Hot pink | SSIN,"조회수 808,617회",1.7만,483,"댓글 2,788개",2018. 5. 10.
두아리파st 파워풀 무드 메이크업 | SSIN,"조회수 519,318회",1.3만,406,"댓글 1,472개",2018. 5. 6.
따스한 LA햇살에 비친 Beach 메이크업 (feat.박PD) | SSIN,"조회수 440,087회",6천,170,댓글 483개,2018. 4. 27.
혹시 ‘글로시에(Glossier)’ 화장품 써보신분 계신가요 | SSIN,"조회수 298,584회",4.9천,171,댓글 933개,2018. 4. 24.
LA에서 데일리 메이크업하고 선글라스 써버림｜SSIN,"조회수 391,183회",5.6천,194,댓글 278개,2018. 4. 18.
씬님스튜디오 첫 직원평가 치열한 경쟁의 승자는..?  | SSIN,"조회수 324,073회",4.2천,119,댓글 203개,2018. 4. 13.
인도네시아에서 같이 화장하자! 시상식용 겟레디윗미 | SSIN,"조회수 474,090회",7천,176,댓글 479개,2018. 4. 11.
우주최강 존예 화장품 브랜드 '팻 맥그래스랩'을 리뷰해보았다 | SSIN,"조회수 369,438회",6천,221,댓글 431개,2018. 4. 6.
100만원짜리 발렌시아가 스피드러너 신고 똥 밟았습니다 | SSIN,"조회수 452,476회",7.6천,405,댓글 565개,2018. 4. 4.
